JobNo,EmployeeName,EmployeeSex,Birthday,age,HighestDegree,MaritalStatus,nation,Political,Electron,Telephone,position,title,EmploymentForm,Major,EmploymentDate,contractTerm
20,费飞,男,1999-01-22,24,本科,已婚,朝鲜族,群众,qtang@gmail.com,15583097564,前端,高级,劳务合同,数学,2022-06-09,2
21,王博,男,1981-02-23,42,其他,未婚,满族,群众,flai@yahoo.com,18914063289,运维,高级,劳务合同,数学,2021-11-27,3
22,张倩,女,1989-12-07,34,大专,已婚,朝鲜族,党员,guiying33@gmail.com,18709141877,运维,助理,劳务合同,数学,2021-07-31,2
23,李燕,男,1988-07-11,35,硕士,已婚,满族,党员,junwen@hotmail.com,13597300907,前端,高级,劳动合同,软件工程,2023-02-18,3
24,陆林,男,1992-04-26,31,小学,已婚,汉族,党员,caiping@hotmail.com,13014477316,算法,中级,劳动合同,软件工程,2022-09-01,3
25,王文,女,1999-04-08,24,硕士,已婚,蒙古族,群众,mzheng@gmail.com,18825506185,运营,助理,劳动合同,软件工程,2022-09-08,3
26,祁萍,男,2002-09-25,21,小学,已婚,汉族,群众,sujuan@hotmail.com,13026602368,运维,实习,劳动合同,计算机,2021-07-06,2
27,陈龙,男,1975-01-21,48,博士,未婚,蒙古族,团员,liangqiang@gmail.com,18260231076,前端,高级,劳务合同,软件工程,2022-10-02,3
28,史坤,女,1978-06-07,45,博士,未婚,回族,党员,yangjia@hotmail.com,13364100648,前端,实习,劳务合同,计算机,2021-05-24,2
29,蒋桂花,女,2002-03-14,21,本科,未婚,蒙古族,党员,xiulan88@hotmail.com,15746038359,算法,实习,劳务合同,计算机,2022-09-06,2
30,刘桂兰,女,1995-10-21,28,本科,未婚,蒙古族,团员,yansun@gmail.com,18638052707,运营,助理,劳务合同,软件工程,2021-05-13,3
31,张瑜,女,1990-02-11,33,博士,已婚,朝鲜族,预备党员,yongtao@hotmail.com,15901824431,前端,初级,劳动合同,软件工程,2022-10-21,3
32,王莹,女,1972-03-23,51,高中,未婚,满族,党员,shenfang@gmail.com,15247529673,运维,助理,劳动合同,数学,2021-12-02,2
33,任倩,女,1991-08-22,32,博士,未婚,回族,党员,yongqin@gmail.com,14555150072,后端,实习,劳务合同,软件工程,2022-01-26,2
34,王雪,男,1973-02-21,50,大专,已婚,回族,党员,wei10@yahoo.com,15709607598,前端,助理,劳务合同,软件工程,2021-06-10,3
35,牛淑英,女,1988-03-09,35,其他,已婚,满族,团员,nkang@gmail.com,15393896270,前端,中级,劳务合同,计算机,2021-08-29,3
36,傅婷婷,男,1975-08-17,48,其他,已婚,回族,预备党员,pengfang@hotmail.com,18770389368,运维,高级,劳动合同,数学,2023-01-25,2
37,盛刚,男,1999-04-07,24,其他,已婚,满族,预备党员,udai@gmail.com,13169646891,后端,助理,劳动合同,数学,2022-08-25,3
38,孙佳,女,1980-05-27,43,高中,已婚,朝鲜族,党员,xiulan51@hotmail.com,13841690282,前端,高级,劳务合同,数学,2022-08-01,2
39,张丽,女,1975-06-30,48,初中,未婚,朝鲜族,党员,gangguo@yahoo.com,15078163490,算法,中级,劳动合同,软件工程,2022-06-08,1
40,陈桂芳,女,1983-06-28,40,小学,已婚,汉族,团员,yongzeng@yahoo.com,18054569193,算法,中级,劳务合同,数学,2022-03-16,2
41,王桂荣,男,1982-07-01,41,小学,未婚,汉族,预备党员,guiyingwang@yahoo.com,15653483019,前端,实习,劳动合同,计算机,2021-10-09,1
42,王秀华,女,1974-01-16,49,其他,已婚,蒙古族,预备党员,yangyang@gmail.com,18095643786,后端,高级,劳务合同,软件工程,2023-01-22,3
43,潘玉英,女,1979-08-18,44,小学,未婚,回族,团员,guiying85@yahoo.com,15231903754,运营,实习,劳务合同,软件工程,2022-02-13,3
44,张娟,女,1981-05-18,42,其他,已婚,汉族,党员,qiang42@gmail.com,18754052338,前端,初级,劳务合同,软件工程,2021-08-03,3
45,舒霞,男,1978-03-31,45,大专,已婚,回族,团员,leisong@yahoo.com,15766549392,后端,高级,劳动合同,计算机,2021-06-14,1
46,严峰,男,1993-02-27,30,初中,未婚,蒙古族,团员,jun45@gmail.com,13150205514,运维,实习,劳务合同,数学,2022-11-17,3
47,李杰,女,1985-10-05,38,硕士,未婚,汉族,群众,songgang@yahoo.com,18017116918,前端,实习,劳务合同,软件工程,2022-03-14,2
48,石莹,女,1991-05-07,32,硕士,已婚,满族,党员,xiuying29@hotmail.com,15948730723,前端,中级,劳务合同,软件工程,2022-11-25,1
49,黄洋,女,1997-06-26,26,其他,已婚,汉族,团员,zhengwei@yahoo.com,18914919416,运维,初级,劳动合同,数学,2021-07-07,1
50,文晨,女,1982-10-07,41,本科,未婚,蒙古族,团员,tao05@yahoo.com,13560164598,算法,助理,劳务合同,数学,2022-01-07,3
51,傅玉,男,1982-05-23,41,初中,未婚,蒙古族,预备党员,mkong@gmail.com,18822106370,前端,中级,劳动合同,数学,2021-07-13,1
52,李丽华,男,1981-05-15,42,小学,未婚,回族,预备党员,hye@gmail.com,18928412997,前端,实习,劳动合同,计算机,2022-05-26,3
53,陈强,女,1982-05-01,41,初中,未婚,回族,预备党员,pingding@hotmail.com,15339223561,前端,高级,劳务合同,数学,2022-12-31,2
54,王龙,女,1998-04-11,25,高中,已婚,汉族,党员,minqian@gmail.com,13992525537,算法,实习,劳务合同,计算机,2022-10-24,2
55,司斌,男,1991-07-20,32,小学,未婚,回族,预备党员,guiyingxie@hotmail.com,13277580145,后端,高级,劳动合同,计算机,2022-02-20,1
56,廖丽,女,2000-04-29,23,本科,已婚,蒙古族,预备党员,yangsong@hotmail.com,15806259021,运维,高级,劳务合同,数学,2022-08-03,1
57,欧涛,男,1982-11-22,41,高中,未婚,满族,预备党员,mingzhou@gmail.com,15964134055,运维,初级,劳动合同,计算机,2022-04-09,2
58,赵博,男,1979-08-24,44,初中,未婚,回族,团员,pengyang@gmail.com,15156833297,算法,初级,劳动合同,计算机,2021-08-23,3
59,葛芳,女,1995-08-22,28,其他,已婚,汉族,团员,liangyong@gmail.com,18183820069,运营,初级,劳动合同,计算机,2022-10-17,1
60,郭成,男,1980-01-24,43,硕士,未婚,朝鲜族,群众,longyang@gmail.com,18622870233,后端,实习,劳动合同,软件工程,2021-12-07,3
61,桂杰,女,1981-06-23,42,初中,已婚,朝鲜族,预备党员,gang70@gmail.com,18503928478,运营,初级,劳动合同,数学,2022-11-10,2
62,傅欣,男,2001-09-02,22,高中,未婚,满族,群众,yanliang@hotmail.com,13666002140,运维,中级,劳务合同,软件工程,2021-05-02,1
63,曹佳,男,1978-06-16,45,其他,已婚,蒙古族,团员,liangyong@hotmail.com,15204812554,后端,初级,劳务合同,计算机,2022-01-01,1
64,韩文,男,1985-02-01,38,硕士,未婚,汉族,预备党员,vsong@gmail.com,13923401020,运维,初级,劳动合同,数学,2022-02-16,3
65,章建华,男,1978-09-24,45,硕士,未婚,回族,党员,wangping@hotmail.com,13658480487,算法,实习,劳务合同,数学,2021-10-14,3
66,蒋成,女,1983-10-31,40,硕士,已婚,回族,群众,li08@yahoo.com,18288806416,运营,中级,劳动合同,软件工程,2021-08-14,2
67,杨利,女,1978-11-09,45,大专,已婚,汉族,团员,hefang@yahoo.com,13981382247,运营,初级,劳务合同,计算机,2022-04-03,2
68,吴明,男,1977-01-07,46,硕士,已婚,汉族,党员,tshi@gmail.com,18657096601,运维,初级,劳动合同,软件工程,2022-07-19,2
69,解淑兰,女,1998-02-21,25,高中,未婚,回族,党员,akang@gmail.com,18986644418,运营,中级,劳务合同,数学,2022-07-22,2
70,朱建军,男,1973-01-14,50,高中,已婚,回族,党员,fang65@hotmail.com,15955825691,算法,实习,劳动合同,软件工程,2021-03-25,3
71,曹彬,男,1993-11-18,30,初中,未婚,回族,预备党员,juanliao@yahoo.com,15176490289,算法,实习,劳动合同,数学,2021-11-10,1
72,刘玉梅,男,1984-08-16,39,小学,已婚,朝鲜族,党员,ping95@yahoo.com,15619159637,算法,中级,劳动合同,计算机,2022-06-27,3
73,傅丹,女,1999-10-08,24,本科,已婚,汉族,党员,xiuyingqian@gmail.com,18780714165,运维,中级,劳务合同,数学,2022-01-21,1
74,张东,女,1992-11-02,31,硕士,已婚,蒙古族,党员,qiang34@gmail.com,15201212274,算法,高级,劳动合同,软件工程,2021-11-22,2
75,刘霞,男,1986-11-08,37,大专,已婚,蒙古族,党员,minsong@gmail.com,13607130470,前端,实习,劳务合同,数学,2021-11-21,2
76,刘磊,男,1999-12-29,24,高中,已婚,满族,预备党员,lixiong@gmail.com,18247751141,运营,实习,劳务合同,数学,2022-02-16,2
77,蔡秀云,男,1975-03-12,48,硕士,未婚,蒙古族,预备党员,naxiao@hotmail.com,13037587772,前端,高级,劳务合同,软件工程,2022-08-16,1
78,董利,男,1994-02-01,29,其他,未婚,汉族,群众,min86@hotmail.com,15679465489,算法,高级,劳务合同,数学,2021-10-17,1
79,王浩,女,1990-05-30,33,初中,已婚,朝鲜族,团员,swu@gmail.com,14738870166,后端,初级,劳务合同,数学,2021-03-13,3
80,滕霞,男,1975-11-27,48,高中,已婚,蒙古族,群众,yong79@yahoo.com,18580265664,运维,高级,劳动合同,软件工程,2023-02-15,2
81,桂秀英,女,1992-09-15,31,硕士,未婚,回族,党员,qiangzhao@hotmail.com,18612446100,运营,实习,劳务合同,计算机,2022-09-11,1
82,沈冬梅,女,1982-04-17,41,大专,已婚,蒙古族,党员,ishao@hotmail.com,13826257138,后端,实习,劳动合同,计算机,2022-11-02,3
83,邹帅,男,1990-02-14,33,本科,未婚,朝鲜族,预备党员,yixiulan@yahoo.com,14523332570,运营,初级,劳动合同,软件工程,2021-09-08,2
84,张龙,男,1973-12-16,50,本科,未婚,蒙古族,团员,duanping@gmail.com,15277637018,算法,高级,劳务合同,软件工程,2021-08-19,2
85,李超,女,1974-12-02,49,本科,已婚,回族,党员,yanghou@yahoo.com,13554795433,算法,初级,劳务合同,软件工程,2022-05-25,2
86,刘畅,男,1973-03-14,50,博士,未婚,蒙古族,预备党员,huping@hotmail.com,15323295588,后端,高级,劳动合同,数学,2022-01-14,2
87,张成,女,1974-05-28,49,小学,已婚,汉族,预备党员,zhongmin@hotmail.com,13530238907,前端,初级,劳务合同,计算机,2022-07-19,2
88,李雪梅,女,1993-05-08,30,高中,未婚,汉族,团员,xiuyingtao@gmail.com,13588258119,算法,实习,劳务合同,数学,2021-02-26,2
89,薛秀芳,女,1989-05-08,34,大专,未婚,蒙古族,团员,sfeng@yahoo.com,15148805993,前端,助理,劳务合同,数学,2022-09-08,1
90,潘利,男,1972-08-30,51,硕士,已婚,回族,群众,fangchen@yahoo.com,18970792507,后端,中级,劳动合同,计算机,2022-05-07,3
91,侯明,女,1981-02-21,42,博士,未婚,满族,党员,rhuang@yahoo.com,18561867439,前端,高级,劳动合同,软件工程,2021-04-28,1
92,管婷,女,1980-08-09,43,小学,已婚,朝鲜族,党员,guiying21@gmail.com,15904093362,后端,助理,劳动合同,计算机,2021-06-29,3
93,米丽娟,男,1996-07-13,27,其他,已婚,满族,党员,xiangmin@yahoo.com,15020431084,运维,助理,劳动合同,软件工程,2023-01-30,1
94,朱玲,男,1972-05-12,51,大专,未婚,回族,预备党员,yan73@gmail.com,18115286263,前端,高级,劳务合同,计算机,2021-02-21,3
95,何华,男,1974-08-05,49,初中,未婚,满族,团员,mingguo@yahoo.com,15861447480,前端,中级,劳务合同,数学,2021-08-19,2
96,倪浩,男,2002-10-31,21,大专,已婚,满族,党员,xiulan57@gmail.com,13107992055,前端,中级,劳务合同,计算机,2021-08-24,1
97,任桂珍,男,2001-02-27,22,本科,未婚,蒙古族,团员,mtang@hotmail.com,18767393929,运维,实习,劳动合同,计算机,2022-10-25,3
98,方博,男,1996-03-17,27,小学,已婚,回族,团员,mingshen@yahoo.com,18911129132,前端,中级,劳动合同,数学,2021-03-04,1
99,杨军,女,1996-06-30,27,博士,已婚,汉族,预备党员,juan40@gmail.com,13592681702,后端,初级,劳务合同,计算机,2021-03-27,1
100,李浩,男,1984-10-20,39,博士,已婚,回族,团员,jie05@yahoo.com,15151510191,前端,高级,劳务合同,软件工程,2022-03-02,1
